sample_id,device_id,scenario,region,season,day_period,ambient_temperature_c,humidity_pct,solar_irradiance_w_m2,network_quality,installation_type,battery_age_months,usage_profile,security_risk_zone,latitude,longitude,battery_voltage_v,battery_temperature_c,state_of_charge_pct,movement_detected,tamper_detected,enclosure_opened,connectivity_gap_seconds,solar_power_w,load_power_w,gps_accuracy_m,label_maintenance,label_security,notes
sample-1-normal_operation-1,device-1,normal_operation,sahel_north,dry,night,39.26,15.0,112.52,weak,household_rooftop,3,normal,medium,14.711239,-17.465951,13.18,31.67,87.76,0,0,0,180,18.0,55.0,8.0,0,0,MVP v2 scenario for normal_operation in sahel_north during dry
sample-1-normal_operation-2,device-1,normal_operation,sahel_north,rainy,day,36.36,45.91,541.65,medium,kiosk_shared,3,intensive,medium,14.708836,-17.469644,13.23,31.63,86.76,0,0,0,73,87.26,77.62,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during rainy
sample-1-normal_operation-3,device-1,normal_operation,sahel_north,harmattan,day,37.92,15.0,739.77,medium,household_rooftop,3,low,medium,14.722523,-17.47314,13.28,31.78,87.36,0,0,0,76,119.56,45.0,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during harmattan
sample-1-normal_operation-4,device-1,normal_operation,sahel_north,transition,day,39.18,25.2,857.18,medium,kiosk_shared,3,normal,medium,14.717338,-17.4602,13.33,31.91,86.11,0,0,0,79,138.95,62.5,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during transition
sample-1-normal_operation-5,device-1,normal_operation,sahel_north,dry,night,38.6,21.52,59.89,medium,household_rooftop,3,intensive,medium,14.714676,-17.458204,13.38,31.96,83.76,0,0,0,82,11.98,87.75,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during dry
sample-1-normal_operation-6,device-1,normal_operation,sahel_north,rainy,day,37.55,45.6,500.11,medium,kiosk_shared,3,low,medium,14.713797,-17.473418,13.18,32.0,86.76,0,0,0,85,83.02,50.62,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during rainy
sample-1-normal_operation-7,device-1,normal_operation,sahel_north,harmattan,day,36.41,15.0,750.45,medium,household_rooftop,3,normal,medium,14.723807,-17.473982,13.23,32.04,84.46,0,0,0,88,123.67,55.0,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during harmattan
sample-1-normal_operation-8,device-1,normal_operation,sahel_north,transition,day,39.41,24.05,862.53,medium,kiosk_shared,3,intensive,medium,14.707599,-17.463668,13.28,32.24,80.76,0,0,0,91,142.2,77.62,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during transition
sample-1-normal_operation-9,device-1,normal_operation,sahel_north,dry,night,41.34,15.0,85.91,medium,household_rooftop,3,low,medium,14.712609,-17.459854,13.33,32.39,86.16,0,0,0,94,18.55,45.0,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during dry
sample-1-normal_operation-10,device-1,normal_operation,sahel_north,rainy,day,37.05,44.91,538.85,medium,kiosk_shared,3,normal,medium,14.71532,-17.47267,13.38,32.3,82.81,0,0,0,97,91.62,62.5,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during rainy
sample-1-normal_operation-11,device-1,normal_operation,sahel_north,harmattan,day,38.08,15.0,765.9,medium,household_rooftop,3,intensive,medium,14.709972,-17.464427,13.18,32.42,77.76,0,0,0,100,128.54,87.75,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during harmattan
sample-1-normal_operation-12,device-1,normal_operation,sahel_north,transition,day,38.37,28.74,806.79,medium,kiosk_shared,3,low,medium,14.706875,-17.466748,13.23,32.51,85.56,0,0,0,103,135.69,50.62,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during transition
sample-1-normal_operation-13,device-1,normal_operation,sahel_north,dry,night,40.69,15.0,56.71,medium,household_rooftop,3,normal,medium,14.71735,-17.466642,13.28,32.69,81.16,0,0,0,106,16.27,55.0,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during dry
sample-1-normal_operation-14,device-1,normal_operation,sahel_north,rainy,day,36.81,47.39,492.4,medium,kiosk_shared,3,intensive,medium,14.726348,-17.464427,13.33,32.61,74.76,0,0,0,109,86.58,77.62,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during rainy
sample-1-normal_operation-15,device-1,normal_operation,sahel_north,harmattan,day,38.34,15.0,726.52,medium,household_rooftop,3,low,medium,14.711728,-17.458981,13.38,32.75,84.96,0,0,0,112,124.64,45.0,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during harmattan
sample-1-normal_operation-16,device-1,normal_operation,sahel_north,transition,day,35.27,33.38,793.25,medium,kiosk_shared,3,normal,medium,14.717323,-17.477273,13.18,32.71,79.51,0,0,0,115,135.92,62.5,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during transition
sample-1-normal_operation-17,device-1,normal_operation,sahel_north,dry,night,41.19,17.32,89.62,medium,household_rooftop,3,intensive,medium,14.721024,-17.461815,13.23,33.03,71.76,0,0,0,118,23.94,87.75,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during dry
sample-1-normal_operation-18,device-1,normal_operation,sahel_north,rainy,day,34.78,40.34,504.64,weak,kiosk_shared,3,low,medium,14.719266,-17.463406,13.28,32.86,84.36,0,0,0,231,90.94,50.62,8.0,0,0,MVP v2 scenario for normal_operation in sahel_north during rainy
sample-1-normal_operation-19,device-1,normal_operation,sahel_north,harmattan,day,36.43,15.0,719.01,medium,household_rooftop,3,normal,medium,14.711001,-17.461506,13.33,33.0,77.86,0,0,0,124,125.84,55.0,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during harmattan
sample-1-normal_operation-20,device-1,normal_operation,sahel_north,transition,day,35.1,37.94,839.03,medium,kiosk_shared,3,intensive,medium,14.716514,-17.47575,13.38,33.02,68.76,0,0,0,127,145.64,77.62,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during transition
sample-1-normal_operation-21,device-1,normal_operation,sahel_north,dry,night,38.85,18.12,81.9,medium,household_rooftop,3,low,medium,14.719442,-17.463506,13.18,33.25,83.76,0,0,0,130,25.1,45.0,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during dry
sample-1-normal_operation-22,device-1,normal_operation,sahel_north,rainy,day,35.65,39.11,533.77,medium,kiosk_shared,3,normal,medium,14.72047,-17.464516,13.23,33.21,76.21,0,0,0,133,98.0,62.5,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during rainy
sample-1-normal_operation-23,device-1,normal_operation,sahel_north,harmattan,day,36.17,15.0,747.48,medium,household_rooftop,3,intensive,medium,14.706948,-17.461689,13.28,33.31,65.76,0,0,0,136,132.8,87.75,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during harmattan
sample-1-normal_operation-24,device-1,normal_operation,sahel_north,transition,day,38.79,26.89,858.08,medium,kiosk_shared,3,low,medium,14.726512,-17.461338,13.33,33.49,83.16,0,0,0,139,151.09,50.62,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during transition
