scenario,customer_id,city,preference,autonomy_hours,appliance_count,total_daily_energy_wh,adjusted_daily_energy_wh,simultaneous_power_w,pv_total_power_w,panel_count,battery_count,battery_usable_capacity_wh,inverter_power_w,estimated_quote_total,risk_budget_insufficient
petit_menage,synthetic-customer-000000,kinshasa,balanced,12,3,389.21,486.51,87.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000001,kinshasa,economy,8,5,2923.27,3654.09,408.0,1100.0,2,3,1800.0,600.0,1270000.0,False
boutique_froid,synthetic-customer-000002,brazzaville,balanced,8,4,5316.36,6645.45,529.0,2200.0,4,3,3264.0,2500.0,2510000.0,False
salon_coiffure,synthetic-customer-000003,lubumbashi,autonomy,10,4,3386.51,4233.14,2243.0,1100.0,2,2,2176.0,5000.0,2190000.0,False
centre_sante,synthetic-customer-000004,mbandaka,economy,16,4,2452.43,3065.54,353.0,1100.0,2,4,2400.0,600.0,1400000.0,True
petit_menage,synthetic-customer-000005,kinshasa,economy,10,3,384.46,480.58,78.0,240.0,2,1,600.0,600.0,540000.0,False
menage_urbain,synthetic-customer-000006,kinshasa,performance,24,5,3635.96,4544.95,512.0,1650.0,3,5,5440.0,1200.0,2525000.0,True
boutique_froid,synthetic-customer-000007,brazzaville,autonomy,8,4,5411.39,6764.24,511.0,2200.0,4,3,3264.0,2500.0,2510000.0,True
salon_coiffure,synthetic-customer-000008,lubumbashi,economy,16,4,4892.46,6115.57,2216.0,1650.0,3,8,4800.0,5000.0,2955000.0,True
centre_sante,synthetic-customer-000009,mbandaka,performance,24,4,1992.69,2490.86,298.0,1050.0,3,3,3264.0,600.0,1665000.0,True
petit_menage,synthetic-customer-000010,kinshasa,performance,24,3,456.06,570.08,87.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000011,kinshasa,economy,24,5,2747.41,3434.26,362.0,1100.0,2,7,4200.0,600.0,1790000.0,False
boutique_froid,synthetic-customer-000012,brazzaville,autonomy,10,4,3682.17,4602.71,390.0,1650.0,3,3,3264.0,1200.0,2005000.0,False
salon_coiffure,synthetic-customer-000013,lubumbashi,autonomy,8,4,4996.79,6245.99,2147.0,1650.0,3,3,3264.0,5000.0,2695000.0,True
centre_sante,synthetic-customer-000014,mbandaka,autonomy,24,4,2204.45,2755.56,362.0,1050.0,3,3,3264.0,600.0,1665000.0,False
petit_menage,synthetic-customer-000015,kinshasa,balanced,16,3,379.25,474.06,87.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000016,kinshasa,economy,8,5,3072.54,3840.68,453.0,1650.0,3,3,1800.0,600.0,1515000.0,True
boutique_froid,synthetic-customer-000017,brazzaville,autonomy,10,4,3114.64,3893.3,345.0,1650.0,3,2,2176.0,600.0,1645000.0,False
salon_coiffure,synthetic-customer-000018,lubumbashi,autonomy,12,4,2853.98,3567.47,1237.0,1100.0,2,2,2176.0,2500.0,1760000.0,True
centre_sante,synthetic-customer-000019,mbandaka,balanced,8,4,2272.29,2840.36,362.0,1100.0,2,1,1088.0,600.0,1140000.0,False
petit_menage,synthetic-customer-000020,kinshasa,balanced,16,3,509.49,636.86,96.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000021,kinshasa,autonomy,24,5,3268.34,4085.43,452.0,1650.0,3,5,5440.0,600.0,2425000.0,True
boutique_froid,synthetic-customer-000022,brazzaville,performance,8,4,3915.39,4894.24,381.0,1650.0,3,2,2176.0,1200.0,1745000.0,False
salon_coiffure,synthetic-customer-000023,lubumbashi,economy,12,4,2651.76,3314.7,2147.0,1050.0,3,4,2400.0,5000.0,2195000.0,False
centre_sante,synthetic-customer-000024,mbandaka,economy,12,4,2062.09,2577.61,307.0,1050.0,3,3,1800.0,600.0,1275000.0,False
petit_menage,synthetic-customer-000025,kinshasa,balanced,12,3,451.05,563.81,88.0,240.0,2,1,1088.0,600.0,670000.0,True
menage_urbain,synthetic-customer-000026,kinshasa,balanced,10,5,5039.07,6298.84,633.0,2200.0,4,3,3264.0,1200.0,2250000.0,True
boutique_froid,synthetic-customer-000027,brazzaville,balanced,10,4,3876.86,4846.07,390.0,1650.0,3,3,3264.0,1200.0,2005000.0,True
salon_coiffure,synthetic-customer-000028,lubumbashi,performance,16,4,2120.82,2651.03,1168.0,700.0,2,2,2176.0,2500.0,1490000.0,True
centre_sante,synthetic-customer-000029,mbandaka,autonomy,16,4,2676.81,3346.01,369.0,1100.0,2,3,3264.0,600.0,1660000.0,True
